LET spectra each 0.1 cm
 cell  400                                                                                                                             
    4.1618E+00   0.00000E+00 0.0000
    4.2822E+00   0.00000E+00 0.0000
    4.4061E+00   0.00000E+00 0.0000
    4.5335E+00   0.00000E+00 0.0000
    4.6647E+00   0.00000E+00 0.0000
    4.7996E+00   0.00000E+00 0.0000
    4.9385E+00   0.00000E+00 0.0000
    5.0814E+00   0.00000E+00 0.0000
    5.2284E+00   0.00000E+00 0.0000
    5.3796E+00   0.00000E+00 0.0000
    5.5352E+00   5.56247E-03 0.0009
    5.6954E+00   1.28491E-04 0.0054
    5.8601E+00   1.32942E-04 0.0053
    6.0297E+00   2.29778E-03 0.0014
    6.2041E+00   2.50435E-05 0.0123
    6.3836E+00   1.17037E-03 0.0020
    6.5683E+00   3.24523E-05 0.0108
    6.7583E+00   7.16158E-04 0.0026
    6.9538E+00   2.37696E-05 0.0127
    7.1550E+00   5.05091E-04 0.0031
    7.3619E+00   1.56574E-05 0.0158
    7.5749E+00   3.99530E-04 0.0035
    7.7941E+00   1.55438E-05 0.0159
    8.0195E+00   1.48516E-05 0.0163
    8.2515E+00   3.00917E-04 0.0040
    8.4902E+00   1.23238E-05 0.0179
    8.7359E+00   1.05247E-04 0.0068
    8.9886E+00   3.12093E-08 0.0482
    9.2486E+00   5.46276E-07 0.0106
    9.5162E+00   3.83671E-08 0.0430
    9.7915E+00   3.90645E-08 0.0433
    1.0075E+01   5.28526E-07 0.0111
    1.0366E+01   4.70978E-08 0.0393
    1.0666E+01   5.14845E-07 0.0117
    1.0975E+01   5.34460E-08 0.0361
    1.1292E+01   5.12171E-07 0.0120
    1.1619E+01   6.20648E-08 0.0328
    1.1955E+01   6.49944E-08 0.0318
    1.2301E+01   5.04908E-07 0.0121
    1.2657E+01   7.16687E-08 0.0291
    1.3023E+01   5.01834E-07 0.0122
    1.3400E+01   6.86469E-08 0.0282
    1.3787E+01   6.97074E-08 0.0279
    1.4186E+01   5.07058E-07 0.0118
    1.4596E+01   7.87172E-08 0.0246
    1.5019E+01   5.08581E-07 0.0116
    1.5453E+01   7.83938E-08 0.0230
    1.5900E+01   8.13180E-08 0.0225
    1.6360E+01   5.05189E-07 0.0111
    1.6834E+01   8.30494E-08 0.0208
    1.7321E+01   5.22278E-07 0.0106
    1.7822E+01   8.36934E-08 0.0193
    1.8337E+01   5.16343E-07 0.0101
    1.8868E+01   9.33559E-08 0.0170
    1.9413E+01   8.40534E-08 0.0178
    1.9975E+01   5.21576E-07 0.0095
    2.0553E+01   8.55554E-08 0.0164
    2.1148E+01   5.10226E-07 0.0091
    2.1759E+01   9.27487E-08 0.0146
    2.2389E+01   8.31623E-08 0.0154
    2.3037E+01   5.22293E-07 0.0085
    2.3703E+01   8.44094E-08 0.0142
    2.4389E+01   5.09058E-07 0.0080
    2.5094E+01   9.33460E-08 0.0125
    2.5820E+01   8.36873E-08 0.0132
    2.6567E+01   5.17147E-07 0.0075
    2.7336E+01   8.25981E-08 0.0123
    2.8127E+01   5.02370E-07 0.0071
    2.8940E+01   9.21693E-08 0.0108
    2.9777E+01   8.16020E-08 0.0115
    3.0639E+01   4.97174E-07 0.0066
    3.1525E+01   7.82266E-08 0.0109
    3.2437E+01   4.73447E-07 0.0063
    3.3376E+01   8.65600E-08 0.0096
    3.4341E+01   7.55376E-08 0.0102
    3.5335E+01   4.65271E-07 0.0060
    3.6357E+01   7.07520E-08 0.0098
    3.7409E+01   4.41078E-07 0.0057
    3.8491E+01   7.79448E-08 0.0086
    3.9604E+01   7.00720E-08 0.0091
    4.0750E+01   4.25755E-07 0.0054
    4.1929E+01   6.29572E-08 0.0089
    4.3142E+01   4.03875E-07 0.0052
    4.4390E+01   6.83898E-08 0.0079
    4.5674E+01   3.68998E-07 0.0050
    4.6996E+01   7.99669E-08 0.0068
    4.8355E+01   5.51226E-08 0.0082
    4.9754E+01   3.63301E-07 0.0048
    5.1193E+01   5.87989E-08 0.0073
    5.2674E+01   3.27379E-07 0.0046
    5.4198E+01   6.79212E-08 0.0064
    5.5766E+01   4.90512E-08 0.0074
    5.7379E+01   3.18085E-07 0.0044
    5.9039E+01   4.79960E-08 0.0070
    6.0747E+01   2.85961E-07 0.0043
    6.2505E+01   5.48052E-08 0.0061
    6.4313E+01   4.30186E-08 0.0068
    6.6174E+01   2.68613E-07 0.0042
    6.8088E+01   3.83848E-08 0.0067
    7.0058E+01   2.43525E-07 0.0041
    7.2084E+01   4.19809E-08 0.0060
    7.4170E+01   2.14140E-07 0.0040
    7.6315E+01   4.65754E-08 0.0053
    7.8523E+01   3.18988E-08 0.0063
    8.0795E+01   2.04328E-07 0.0039
    8.3132E+01   3.08471E-08 0.0060
    8.5537E+01   1.82250E-07 0.0038
    8.8012E+01   3.18907E-08 0.0055
    9.0558E+01   1.59299E-07 0.0037
    9.3178E+01   3.37346E-08 0.0050
    9.5873E+01   2.41396E-08 0.0058
    9.8647E+01   1.48321E-07 0.0037
    1.0150E+02   2.16574E-08 0.0057
    1.0444E+02   1.31430E-07 0.0036
    1.0746E+02   2.21355E-08 0.0053
    1.1057E+02   1.13312E-07 0.0036
    1.1377E+02   2.36065E-08 0.0047
    1.1706E+02   1.67821E-08 0.0056
    1.2044E+02   1.03952E-07 0.0035
    1.2393E+02   1.51084E-08 0.0054
    1.2751E+02   9.07629E-08 0.0035
    1.3120E+02   1.54699E-08 0.0050
    1.3500E+02   7.71399E-08 0.0035
    1.3890E+02   1.62054E-08 0.0046
    1.4292E+02   1.11901E-08 0.0054
    1.4706E+02   7.01687E-08 0.0034
    1.5131E+02   1.04360E-08 0.0052
    1.5569E+02   6.01369E-08 0.0034
    1.6019E+02   1.10555E-08 0.0047
    1.6483E+02   8.97952E-09 0.0052
    1.6959E+02   5.29712E-08 0.0034
    1.7450E+02   7.38641E-09 0.0053
    1.7955E+02   4.58858E-08 0.0034
    1.8474E+02   7.50574E-09 0.0049
    1.9009E+02   3.84088E-08 0.0034
    1.9559E+02   7.86390E-09 0.0045
    2.0124E+02   5.47085E-09 0.0053
    2.0707E+02   3.43387E-08 0.0033
    2.1306E+02   5.15732E-09 0.0050
    2.1922E+02   2.90452E-08 0.0033
    2.2556E+02   5.45547E-09 0.0046
    2.3209E+02   4.35793E-09 0.0051
    2.3880E+02   2.55370E-08 0.0033
    2.4571E+02   3.68054E-09 0.0051
    2.5282E+02   2.21742E-08 0.0033
    2.6013E+02   3.57709E-09 0.0048
    2.6766E+02   1.87960E-08 0.0033
    2.7540E+02   3.64371E-09 0.0045
    2.8337E+02   2.61800E-09 0.0049
    2.9157E+02   2.12360E-09 0.0041
    3.0000E+02   0.00000E+00 0.0000
      total      1.14776E-02 0.0006
 
 cell  401                                                                                                                             
    s(e) (MeV/cm)
    1.0000E+00   0.00000E+00 0.0000
    1.0289E+00   0.00000E+00 0.0000
    1.0587E+00   0.00000E+00 0.0000
    1.0893E+00   0.00000E+00 0.0000
    1.1208E+00   0.00000E+00 0.0000
    1.1533E+00   0.00000E+00 0.0000
    1.1866E+00   0.00000E+00 0.0000
    1.2210E+00   0.00000E+00 0.0000
    1.2563E+00   0.00000E+00 0.0000
    1.2926E+00   0.00000E+00 0.0000
    1.3300E+00   0.00000E+00 0.0000
    1.3685E+00   0.00000E+00 0.0000
    1.4081E+00   0.00000E+00 0.0000
    1.4488E+00   0.00000E+00 0.0000
    1.4907E+00   0.00000E+00 0.0000
    1.5339E+00   0.00000E+00 0.0000
    1.5782E+00   0.00000E+00 0.0000
    1.6239E+00   0.00000E+00 0.0000
    1.6709E+00   0.00000E+00 0.0000
    1.7192E+00   0.00000E+00 0.0000
    1.7689E+00   0.00000E+00 0.0000
    1.8201E+00   0.00000E+00 0.0000
    1.8728E+00   0.00000E+00 0.0000
    1.9269E+00   0.00000E+00 0.0000
    1.9827E+00   0.00000E+00 0.0000
    2.0400E+00   0.00000E+00 0.0000
    2.0991E+00   0.00000E+00 0.0000
    2.1598E+00   0.00000E+00 0.0000
    2.2223E+00   0.00000E+00 0.0000
    2.2866E+00   0.00000E+00 0.0000
    2.3527E+00   0.00000E+00 0.0000
    2.4208E+00   0.00000E+00 0.0000
    2.4908E+00   0.00000E+00 0.0000
    2.5629E+00   0.00000E+00 0.0000
    2.6370E+00   0.00000E+00 0.0000
    2.7133E+00   0.00000E+00 0.0000
    2.7918E+00   0.00000E+00 0.0000
    2.8725E+00   0.00000E+00 0.0000
    2.9557E+00   0.00000E+00 0.0000
    3.0412E+00   0.00000E+00 0.0000
    3.1291E+00   0.00000E+00 0.0000
    3.2197E+00   0.00000E+00 0.0000
    3.3128E+00   0.00000E+00 0.0000
    3.4086E+00   0.00000E+00 0.0000
    3.5072E+00   0.00000E+00 0.0000
    3.6087E+00   0.00000E+00 0.0000
    3.7131E+00   0.00000E+00 0.0000
    3.8205E+00   0.00000E+00 0.0000
    3.9311E+00   0.00000E+00 0.0000
    4.0448E+00   0.00000E+00 0.0000
    4.1618E+00   0.00000E+00 0.0000
    4.2822E+00   0.00000E+00 0.0000
    4.4061E+00   0.00000E+00 0.0000
    4.5335E+00   0.00000E+00 0.0000
    4.6647E+00   0.00000E+00 0.0000
    4.7996E+00   0.00000E+00 0.0000
    4.9385E+00   0.00000E+00 0.0000
    5.0814E+00   0.00000E+00 0.0000
    5.2284E+00   0.00000E+00 0.0000
    5.3796E+00   0.00000E+00 0.0000
    5.5352E+00   5.33064E-03 0.0009
    5.6954E+00   8.88042E-05 0.0056
    5.8601E+00   1.15010E-04 0.0049
    6.0297E+00   2.52292E-03 0.0013
    6.2041E+00   2.26151E-05 0.0108
    6.3836E+00   1.16050E-03 0.0020
    6.5683E+00   2.40547E-05 0.0108
    6.7583E+00   7.35840E-04 0.0025
    6.9538E+00   1.92915E-05 0.0123
    7.1550E+00   5.23264E-04 0.0030
    7.3619E+00   1.38291E-05 0.0145
    7.5749E+00   3.93891E-04 0.0035
    7.7941E+00   1.69185E-05 0.0133
    8.0195E+00   1.74092E-05 0.0132
    8.2515E+00   3.07789E-04 0.0039
    8.4902E+00   1.28411E-05 0.0155
    8.7359E+00   1.34152E-04 0.0059
    8.9886E+00   1.10382E-07 0.0388
    9.2486E+00   1.40584E-06 0.0072
    9.5162E+00   1.23819E-07 0.0251
    9.7915E+00   1.28005E-07 0.0251
    1.0075E+01   1.33435E-06 0.0075
    1.0366E+01   1.43288E-07 0.0235
    1.0666E+01   1.28506E-06 0.0079
    1.0975E+01   1.60129E-07 0.0219
    1.1292E+01   1.25433E-06 0.0081
    1.1619E+01   1.81906E-07 0.0199
    1.1955E+01   1.73959E-07 0.0204
    1.2301E+01   1.21615E-06 0.0082
    1.2657E+01   1.74016E-07 0.0193
    1.3023E+01   1.18219E-06 0.0082
    1.3400E+01   1.87072E-07 0.0173
    1.3787E+01   1.82947E-07 0.0175
    1.4186E+01   1.14750E-06 0.0081
    1.4596E+01   1.77742E-07 0.0165
    1.5019E+01   1.13263E-06 0.0079
    1.5453E+01   1.79239E-07 0.0153
    1.5900E+01   1.83852E-07 0.0151
    1.6360E+01   1.10656E-06 0.0077
    1.6834E+01   1.80163E-07 0.0142
    1.7321E+01   1.07401E-06 0.0075
    1.7822E+01   1.74827E-07 0.0134
    1.8337E+01   1.05036E-06 0.0072
    1.8868E+01   1.82302E-07 0.0122
    1.9413E+01   1.73915E-07 0.0125
    1.9975E+01   1.02517E-06 0.0069
    2.0553E+01   1.69042E-07 0.0117
    2.1148E+01   9.82071E-07 0.0066
    2.1759E+01   1.76801E-07 0.0106
    2.2389E+01   1.61205E-07 0.0111
    2.3037E+01   9.62729E-07 0.0063
    2.3703E+01   1.55074E-07 0.0105
    2.4389E+01   9.20165E-07 0.0060
    2.5094E+01   1.68932E-07 0.0093
    2.5820E+01   1.47775E-07 0.0100
    2.6567E+01   9.05018E-07 0.0057
    2.7336E+01   1.42534E-07 0.0094
    2.8127E+01   8.60084E-07 0.0054
    2.8940E+01   1.58744E-07 0.0082
    2.9777E+01   1.36029E-07 0.0089
    3.0639E+01   8.45344E-07 0.0051
    3.1525E+01   1.29074E-07 0.0085
    3.2437E+01   7.89766E-07 0.0049
    3.3376E+01   1.43774E-07 0.0074
    3.4341E+01   1.24553E-07 0.0080
    3.5335E+01   7.62931E-07 0.0047
    3.6357E+01   1.14638E-07 0.0077
    3.7409E+01   7.11087E-07 0.0045
    3.8491E+01   1.25963E-07 0.0068
    3.9604E+01   1.10959E-07 0.0073
    4.0750E+01   6.73152E-07 0.0043
    4.1929E+01   9.82043E-08 0.0071
    4.3142E+01   6.27532E-07 0.0042
    4.4390E+01   1.06011E-07 0.0064
    4.5674E+01   5.62416E-07 0.0040
    4.6996E+01   1.21394E-07 0.0055
    4.8355E+01   8.29698E-08 0.0066
    4.9754E+01   5.44036E-07 0.0039
    5.1193E+01   8.81715E-08 0.0060
    5.2674E+01   4.83519E-07 0.0038
    5.4198E+01   1.01438E-07 0.0052
    5.5766E+01   6.97794E-08 0.0062
    5.7379E+01   4.62839E-07 0.0037
    5.9039E+01   7.05480E-08 0.0057
    6.0747E+01   4.11142E-07 0.0036
    6.2505E+01   7.96237E-08 0.0050
    6.4313E+01   6.10676E-08 0.0057
    6.6174E+01   3.84213E-07 0.0035
    6.8088E+01   5.47523E-08 0.0056
    7.0058E+01   3.45081E-07 0.0034
    7.2084E+01   5.89754E-08 0.0050
    7.4170E+01   2.99767E-07 0.0033
    7.6315E+01   6.55742E-08 0.0044
    7.8523E+01   4.42604E-08 0.0053
    8.0795E+01   2.84222E-07 0.0033
    8.3132E+01   4.25561E-08 0.0051
    8.5537E+01   2.51361E-07 0.0032
    8.8012E+01   4.43945E-08 0.0046
    9.0558E+01   2.17546E-07 0.0032
    9.3178E+01   4.65025E-08 0.0042
    9.5873E+01   3.25317E-08 0.0050
    9.8647E+01   2.01985E-07 0.0031
    1.0150E+02   2.92126E-08 0.0049
    1.0444E+02   1.77352E-07 0.0031
    1.0746E+02   2.99981E-08 0.0045
    1.1057E+02   1.51954E-07 0.0031
    1.1377E+02   3.15056E-08 0.0041
    1.1706E+02   2.24929E-08 0.0048
    1.2044E+02   1.38436E-07 0.0030
    1.2393E+02   2.00121E-08 0.0047
    1.2751E+02   1.20214E-07 0.0030
    1.3120E+02   2.04467E-08 0.0043
    1.3500E+02   1.02002E-07 0.0030
    1.3890E+02   2.12884E-08 0.0040
    1.4292E+02   1.48050E-08 0.0047
    1.4706E+02   9.24007E-08 0.0030
    1.5131E+02   1.36977E-08 0.0045
    1.5569E+02   7.89012E-08 0.0029
    1.6019E+02   1.44754E-08 0.0041
    1.6483E+02   1.17015E-08 0.0045
    1.6959E+02   6.93352E-08 0.0029
    1.7450E+02   9.66551E-09 0.0046
    1.7955E+02   5.98915E-08 0.0029
    1.8474E+02   9.79523E-09 0.0043
    1.9009E+02   5.02278E-08 0.0029
    1.9559E+02   1.02863E-08 0.0039
    2.0124E+02   7.11985E-09 0.0046
    2.0707E+02   4.48363E-08 0.0029
    2.1306E+02   6.71905E-09 0.0044
    2.1922E+02   3.78691E-08 0.0029
    2.2556E+02   7.10768E-09 0.0040
    2.3209E+02   5.69351E-09 0.0044
    2.3880E+02   3.32748E-08 0.0029
    2.4571E+02   4.80040E-09 0.0045
    2.5282E+02   2.87980E-08 0.0029
    2.6013E+02   4.66727E-09 0.0042
    2.6766E+02   2.44279E-08 0.0029
    2.7540E+02   4.74679E-09 0.0039
    2.8337E+02   3.39720E-09 0.0043
    2.9157E+02   2.75562E-09 0.0036
    3.0000E+02   0.00000E+00 0.0000
      total      1.14752E-02 0.0006
 
 cell  402                                                                                                                             
    s(e) (MeV/cm)
    1.0000E+00   0.00000E+00 0.0000
    1.0289E+00   0.00000E+00 0.0000
    1.0587E+00   0.00000E+00 0.0000
    1.0893E+00   0.00000E+00 0.0000
    1.1208E+00   0.00000E+00 0.0000
    1.1533E+00   0.00000E+00 0.0000
    1.1866E+00   0.00000E+00 0.0000
    1.2210E+00   0.00000E+00 0.0000
    1.2563E+00   0.00000E+00 0.0000
    1.2926E+00   0.00000E+00 0.0000
    1.3300E+00   0.00000E+00 0.0000
    1.3685E+00   0.00000E+00 0.0000
    1.4081E+00   0.00000E+00 0.0000
    1.4488E+00   0.00000E+00 0.0000
    1.4907E+00   0.00000E+00 0.0000
    1.5339E+00   0.00000E+00 0.0000
    1.5782E+00   0.00000E+00 0.0000
    1.6239E+00   0.00000E+00 0.0000
    1.6709E+00   0.00000E+00 0.0000
    1.7192E+00   0.00000E+00 0.0000
    1.7689E+00   0.00000E+00 0.0000
    1.8201E+00   0.00000E+00 0.0000
    1.8728E+00   0.00000E+00 0.0000
    1.9269E+00   0.00000E+00 0.0000
    1.9827E+00   0.00000E+00 0.0000
    2.0400E+00   0.00000E+00 0.0000
    2.0991E+00   0.00000E+00 0.0000
    2.1598E+00   0.00000E+00 0.0000
    2.2223E+00   0.00000E+00 0.0000
    2.2866E+00   0.00000E+00 0.0000
    2.3527E+00   0.00000E+00 0.0000
    2.4208E+00   0.00000E+00 0.0000
    2.4908E+00   0.00000E+00 0.0000
    2.5629E+00   0.00000E+00 0.0000
    2.6370E+00   0.00000E+00 0.0000
    2.7133E+00   0.00000E+00 0.0000
    2.7918E+00   0.00000E+00 0.0000
    2.8725E+00   0.00000E+00 0.0000
    2.9557E+00   0.00000E+00 0.0000
    3.0412E+00   0.00000E+00 0.0000
    3.1291E+00   0.00000E+00 0.0000
    3.2197E+00   0.00000E+00 0.0000
    3.3128E+00   0.00000E+00 0.0000
    3.4086E+00   0.00000E+00 0.0000
    3.5072E+00   0.00000E+00 0.0000
    3.6087E+00   0.00000E+00 0.0000
    3.7131E+00   0.00000E+00 0.0000
    3.8205E+00   0.00000E+00 0.0000
    3.9311E+00   0.00000E+00 0.0000
    4.0448E+00   0.00000E+00 0.0000
    4.1618E+00   0.00000E+00 0.0000
    4.2822E+00   0.00000E+00 0.0000
    4.4061E+00   0.00000E+00 0.0000
    4.5335E+00   0.00000E+00 0.0000
    4.6647E+00   0.00000E+00 0.0000
    4.7996E+00   0.00000E+00 0.0000
    4.9385E+00   0.00000E+00 0.0000
    5.0814E+00   0.00000E+00 0.0000
    5.2284E+00   0.00000E+00 0.0000
    5.3796E+00   0.00000E+00 0.0000
    5.5352E+00   5.20450E-03 0.0009
    5.6954E+00   4.26521E-05 0.0072
    5.8601E+00   6.31253E-05 0.0060
    6.0297E+00   2.65723E-03 0.0013
    6.2041E+00   3.89956E-05 0.0075
    6.3836E+00   1.17412E-03 0.0020
    6.5683E+00   1.76057E-05 0.0114
    6.7583E+00   7.46460E-04 0.0025
    6.9538E+00   1.54633E-05 0.0123
    7.1550E+00   5.26436E-04 0.0030
    7.3619E+00   1.72668E-05 0.0119
    7.5749E+00   3.90249E-04 0.0035
    7.7941E+00   1.50176E-05 0.0129
    8.0195E+00   1.67117E-05 0.0124
    8.2515E+00   3.13399E-04 0.0039
    8.4902E+00   1.56255E-05 0.0129
    8.7359E+00   1.65661E-04 0.0053
    8.9886E+00   2.51611E-07 0.0579
    9.2486E+00   2.26836E-06 0.0076
    9.5162E+00   2.00970E-07 0.0198
    9.7915E+00   2.09609E-07 0.0195
    1.0075E+01   2.11072E-06 0.0060
    1.0366E+01   2.33337E-07 0.0184
    1.0666E+01   2.00507E-06 0.0064
    1.0975E+01   2.59320E-07 0.0173
    1.1292E+01   1.91342E-06 0.0066
    1.1619E+01   2.79723E-07 0.0162
    1.1955E+01   2.98944E-07 0.0157
    1.2301E+01   1.85882E-06 0.0066
    1.2657E+01   2.83941E-07 0.0151
    1.3023E+01   1.78826E-06 0.0067
    1.3400E+01   2.77471E-07 0.0142
    1.3787E+01   2.85082E-07 0.0141
    1.4186E+01   1.71002E-06 0.0066
    1.4596E+01   2.75909E-07 0.0133
    1.5019E+01   1.66723E-06 0.0066
    1.5453E+01   2.69450E-07 0.0125
    1.5900E+01   2.73071E-07 0.0124
    1.6360E+01   1.60009E-06 0.0064
    1.6834E+01   2.62952E-07 0.0117
    1.7321E+01   1.55964E-06 0.0063
    1.7822E+01   2.57529E-07 0.0110
    1.8337E+01   1.48695E-06 0.0061
    1.8868E+01   2.61612E-07 0.0102
    1.9413E+01   2.42577E-07 0.0106
    1.9975E+01   1.42951E-06 0.0059
    2.0553E+01   2.29823E-07 0.0100
    2.1148E+01   1.36124E-06 0.0056
    2.1759E+01   2.43588E-07 0.0090
    2.2389E+01   2.20697E-07 0.0095
    2.3037E+01   1.30621E-06 0.0054
    2.3703E+01   2.12032E-07 0.0090
    2.4389E+01   1.23181E-06 0.0052
    2.5094E+01   2.23094E-07 0.0081
    2.5820E+01   1.96767E-07 0.0086
    2.6567E+01   1.18913E-06 0.0050
    2.7336E+01   1.85658E-07 0.0082
    2.8127E+01   1.11580E-06 0.0048
    2.8940E+01   1.99224E-07 0.0074
    2.9777E+01   1.75890E-07 0.0078
    3.0639E+01   1.06927E-06 0.0046
    3.1525E+01   1.64426E-07 0.0075
    3.2437E+01   9.98763E-07 0.0044
    3.3376E+01   1.79777E-07 0.0066
    3.4341E+01   1.56329E-07 0.0071
    3.5335E+01   9.50145E-07 0.0042
    3.6357E+01   1.40779E-07 0.0069
    3.7409E+01   8.80879E-07 0.0041
    3.8491E+01   1.54969E-07 0.0061
    3.9604E+01   1.36857E-07 0.0065
    4.0750E+01   8.28539E-07 0.0039
    4.1929E+01   1.19515E-07 0.0065
    4.3142E+01   7.66294E-07 0.0038
    4.4390E+01   1.30128E-07 0.0057
    4.5674E+01   6.81427E-07 0.0037
    4.6996E+01   1.46830E-07 0.0050
    4.8355E+01   9.97917E-08 0.0061
    4.9754E+01   6.56134E-07 0.0035
    5.1193E+01   1.04410E-07 0.0055
    5.2674E+01   5.76794E-07 0.0035
    5.4198E+01   1.20583E-07 0.0048
    5.5766E+01   8.32713E-08 0.0057
    5.7379E+01   5.48948E-07 0.0034
    5.9039E+01   8.26883E-08 0.0053
    6.0747E+01   4.84489E-07 0.0033
    6.2505E+01   9.32689E-08 0.0046
    6.4313E+01   7.14018E-08 0.0053
    6.6174E+01   4.49804E-07 0.0032
    6.8088E+01   6.35478E-08 0.0052
    7.0058E+01   4.01639E-07 0.0031
    7.2084E+01   6.84478E-08 0.0047
    7.4170E+01   3.48077E-07 0.0031
    7.6315E+01   7.58261E-08 0.0041
    7.8523E+01   5.09129E-08 0.0050
    8.0795E+01   3.28246E-07 0.0030
    8.3132E+01   4.93913E-08 0.0047
    8.5537E+01   2.89002E-07 0.0030
    8.8012E+01   5.08774E-08 0.0043
    9.0558E+01   2.49710E-07 0.0030
    9.3178E+01   5.33524E-08 0.0039
    9.5873E+01   3.72123E-08 0.0047
    9.8647E+01   2.31263E-07 0.0029
    1.0150E+02   3.33546E-08 0.0046
    1.0444E+02   2.02359E-07 0.0029
    1.0746E+02   3.40894E-08 0.0042
    1.1057E+02   1.72994E-07 0.0029
    1.1377E+02   3.56928E-08 0.0038
    1.1706E+02   2.55189E-08 0.0045
    1.2044E+02   1.57044E-07 0.0028
    1.2393E+02   2.25410E-08 0.0044
    1.2751E+02   1.36286E-07 0.0028
    1.3120E+02   2.30850E-08 0.0041
    1.3500E+02   1.15190E-07 0.0028
    1.3890E+02   2.42223E-08 0.0037
    1.4292E+02   1.65013E-08 0.0044
    1.4706E+02   1.04412E-07 0.0028
    1.5131E+02   1.53906E-08 0.0043
    1.5569E+02   8.89248E-08 0.0028
    1.6019E+02   1.63677E-08 0.0039
    1.6483E+02   1.31613E-08 0.0043
    1.6959E+02   7.79557E-08 0.0027
    1.7450E+02   1.08120E-08 0.0043
    1.7955E+02   6.73480E-08 0.0027
    1.8474E+02   1.09566E-08 0.0040
    1.9009E+02   5.63219E-08 0.0027
    1.9559E+02   1.15410E-08 0.0037
    2.0124E+02   7.99746E-09 0.0043
    2.0707E+02   5.02484E-08 0.0027
    2.1306E+02   7.53363E-09 0.0041
    2.1922E+02   4.24118E-08 0.0027
    2.2556E+02   7.98394E-09 0.0038
    2.3209E+02   6.34587E-09 0.0042
    2.3880E+02   3.72938E-08 0.0027
    2.4571E+02   5.35611E-09 0.0042
    2.5282E+02   3.22886E-08 0.0027
    2.6013E+02   5.20452E-09 0.0040
    2.6766E+02   2.73640E-08 0.0027
    2.7540E+02   5.28865E-09 0.0037
    2.8337E+02   3.80763E-09 0.0041
    2.9157E+02   3.09831E-09 0.0034
    3.0000E+02   0.00000E+00 0.0000
      total      1.14693E-02 0.0006
 
 cell  403                                                                                                                             
    s(e) (MeV/cm)
    1.0000E+00   0.00000E+00 0.0000
    1.0289E+00   0.00000E+00 0.0000
    1.0587E+00   0.00000E+00 0.0000
    1.0893E+00   0.00000E+00 0.0000
    1.1208E+00   0.00000E+00 0.0000
    1.1533E+00   0.00000E+00 0.0000
    1.1866E+00   0.00000E+00 0.0000
    1.2210E+00   0.00000E+00 0.0000
    1.2563E+00   0.00000E+00 0.0000
    1.2926E+00   0.00000E+00 0.0000
    1.3300E+00   0.00000E+00 0.0000
    1.3685E+00   0.00000E+00 0.0000
    1.4081E+00   0.00000E+00 0.0000
    1.4488E+00   0.00000E+00 0.0000
    1.4907E+00   0.00000E+00 0.0000
    1.5339E+00   0.00000E+00 0.0000
    1.5782E+00   0.00000E+00 0.0000
    1.6239E+00   0.00000E+00 0.0000
    1.6709E+00   0.00000E+00 0.0000
    1.7192E+00   0.00000E+00 0.0000
    1.7689E+00   0.00000E+00 0.0000
    1.8201E+00   0.00000E+00 0.0000
    1.8728E+00   0.00000E+00 0.0000
